2019-12-27 15:08:21.130 [main] INFO  com.cicoding.integration.MmWebApplication - Starting MmWebApplication on wangjundeMBP.lan with PID 4531 (/Users/wangjun/java-local/spring-boot/cicoding-web/target/classes started by wangjun in /Users/wangjun/java-local/spring-boot)
2019-12-27 15:08:21.133 [main] INFO  com.cicoding.integration.MmWebApplication - The following profiles are active: dev
2019-12-27 15:08:22.056 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-27 15:08:22.057 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-27 15:08:22.112 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.cicoding.integration.mongo.MyMongoRepository.
2019-12-27 15:08:22.146 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 77ms. Found 1 repository interfaces.
2019-12-27 15:08:22.170 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-27 15:08:22.170 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-27 15:08:22.176 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data MongoDB - Could not safely identify store assignment for repository candidate interface com.cicoding.integration.UserRepository.
2019-12-27 15:08:22.178 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7ms. Found 1 repository interfaces.
2019-12-27 15:08:22.190 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-12-27 15:08:22.191 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-12-27 15:08:22.210 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.cicoding.integration.mongo.MyMongoRepository.
2019-12-27 15:08:22.211 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.cicoding.integration.UserRepository.
2019-12-27 15:08:22.211 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10ms. Found 0 repository interfaces.
2019-12-27 15:08:22.713 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b2c703f6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-27 15:08:22.849 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$32475128] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-27 15:08:23.294 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8898 (http)
2019-12-27 15:08:23.305 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8898"]
2019-12-27 15:08:23.313 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-12-27 15:08:23.314 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2019-12-27 15:08:23.320 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/wangjun/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-12-27 15:08:23.425 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-27 15:08:23.425 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2248 ms
2019-12-27 15:08:23.747 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-12-27 15:08:24.153 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-12-27 15:08:24.305 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
2019-12-27 15:08:24.308 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-12-27 15:08:24.603 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-12-27 15:08:24.859 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-12-27 15:08:25.868 [main] INFO  o.hibernate.tool.schema.internal.SchemaCreatorImpl - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@3ee68377'
2019-12-27 15:08:25.873 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-12-27 15:08:26.493 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-12-27 15:08:26.728 [cluster-ClusterId{value='5e05adea061a8a11b3e18a6c', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:14}] to localhost:27017
2019-12-27 15:08:26.734 [cluster-ClusterId{value='5e05adea061a8a11b3e18a6c', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 1]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3941025}
2019-12-27 15:08:27.476 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-27 15:08:27.880 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-12-27 15:08:27.904 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found {0} custom documentation plugin(s)
2019-12-27 15:08:27.913 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-12-27 15:08:27.920 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method list was user-controller
2019-12-27 15:08:27.922 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Request mapping: list belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.cicoding.integration.web.UserController}]] 
2019-12-27 15:08:27.924 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method mongo was user-controller
2019-12-27 15:08:27.924 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Request mapping: mongo belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.cicoding.integration.web.UserController}]] 
2019-12-27 15:08:27.924 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method postUser was user-controller
2019-12-27 15:08:27.924 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Request mapping: postUser belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.cicoding.integration.web.UserController}]] 
2019-12-27 15:08:27.928 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Created resource listing Path: /default/user-controller Description: user-controller Position: 0
2019-12-27 15:08:27.952 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.util.List(true)
2019-12-27 15:08:27.952 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.util.List(true)
2019-12-27 15:08:27.957 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.util.List(true)
2019-12-27 15:08:27.957 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.util.List(true)
2019-12-27 15:08:27.961 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: java.util.List(true)
2019-12-27 15:08:27.961 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key java.util.List(true)
2019-12-27 15:08:27.966 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /user/list.com.cicoding.integration.web.UserController.list.DefaultGenericTypeNamingStrategy
2019-12-27 15:08:27.966 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /user/list.com.cicoding.integration.web.UserController.list.DefaultGenericTypeNamingStrategy
2019-12-27 15:08:27.979 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method list was user-controller
2019-12-27 15:08:27.993 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method list was user-controller
2019-12-27 15:08:28.000 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-12-27 15:08:28.000 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.lang.String(true)
2019-12-27 15:08:28.000 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-12-27 15:08:28.000 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-12-27 15:08:28.000 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /user/mongo.com.cicoding.integration.web.UserController.mongo.DefaultGenericTypeNamingStrategy
2019-12-27 15:08:28.000 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /user/mongo.com.cicoding.integration.web.UserController.mongo.DefaultGenericTypeNamingStrategy
2019-12-27 15:08:28.001 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method mongo was user-controller
